"locationid","StartStation_Name","borough","zone"
431,"Crinan Street, King's Cross"," King's Cross","Crinan Street"
432,"Exhibition Road Museums 1, South Kensington"," South Kensington","Exhibition Road Museums 1"
433,"Wren Street, Holborn"," Holborn","Wren Street"
435,"Kennington Station, Kennington"," Kennington","Kennington Station"
436,"Red Lion Street, Holborn"," Holborn","Red Lion Street"
437,"Vauxhall Walk, Vauxhall"," Vauxhall","Vauxhall Walk"
439,"Killick Street, King's Cross"," King's Cross","Killick Street"
440,"Kennington Oval, Oval"," Oval","Kennington Oval"
441,"Sail Street, Vauxhall"," Vauxhall","Sail Street"
442,"Walmer Road, Avondale"," Avondale","Walmer Road"
443,"Philpot Street, Whitechapel"," Whitechapel","Philpot Street"
444,"Bethnal Green Garden, Bethnal Green"," Bethnal Green","Bethnal Green Garden"
445,"Cheshire Street, Bethnal Green"," Bethnal Green","Cheshire Street"
446,"York Hall, Bethnal Green"," Bethnal Green","York Hall"
447,"Jubilee Crescent, Cubitt Town"," Cubitt Town","Jubilee Crescent"
448,"Fisherman's Walk West, Canary Wharf"," Canary Wharf","Fisherman's Walk West"
449,"Shadwell Station, Shadwell"," Shadwell","Shadwell Station"
450,"Jubilee Street, Stepney"," Stepney","Jubilee Street"
451,"Hermitage Court, Wapping"," Wapping","Hermitage Court"
452,"St. Katharine's Way, Tower"," Tower","St. Katharine's Way"
453,"Garnet Street, Shadwell"," Shadwell","Garnet Street"
454,"Napier Avenue, Millwall"," Millwall","Napier Avenue"
455,"East Ferry Road, Cubitt Town"," Cubitt Town","East Ferry Road"
456,"Parkway, Camden Town"," Camden Town","Parkway"
457,"Castlehaven Road, Camden Town"," Camden Town","Castlehaven Road"
458,"Wapping Lane, Wapping"," Wapping","Wapping Lane"
459,"Gunmakers Lane, Old Ford"," Old Ford","Gunmakers Lane"
460,"Burdett Road, Mile End"," Mile End","Burdett Road"
461,"Aston Street, Stepney"," Stepney","Aston Street"
462,"Bonny Street, Camden Town"," Camden Town","Bonny Street"
463,"Thurtle road, Haggerston"," Haggerston","Thurtle road"
464,"St. Mary & St. Michael Church, Stepney"," Stepney","St. Mary & St. Michael Church"
465,"Pitfield Street North,Hoxton","Hoxton","Pitfield Street North"
466,"Whiston Road, Haggerston"," Haggerston","Whiston Road"
467,"Southern Grove, Bow"," Bow","Southern Grove"
468,"Cantrell Road, Bow"," Bow","Cantrell Road"
469,"Lindfield Street, Poplar"," Poplar","Lindfield Street"
470,"Mostyn Grove, Bow"," Bow","Mostyn Grove"
471,"Hewison Street, Old Ford"," Old Ford","Hewison Street"
472,"Malmesbury Road, Bow"," Bow","Malmesbury Road"
473,"Millharbour, Millwall"," Millwall","Millharbour"
474,"Gascoyne Road, Victoria Park"," Victoria Park","Gascoyne Road"
475,"Lightermans Road, Millwall"," Millwall","Lightermans Road"
476,"Stebondale Street, Cubitt Town"," Cubitt Town","Stebondale Street"
477,"Spindrift Avenue, Millwall"," Millwall","Spindrift Avenue"
478,"Stepney Green Station, Stepney"," Stepney","Stepney Green Station"
479,"Pott Street, Bethnal Green"," Bethnal Green","Pott Street"
480,"Flamborough Street, Limehouse"," Limehouse","Flamborough Street"
481,"Saunders Ness Road, Cubitt Town"," Cubitt Town","Saunders Ness Road"
482,"Exhibition Road Museums 2, South Kensington"," South Kensington","Exhibition Road Museums 2"
483,"Albert Gardens, Stepney"," Stepney","Albert Gardens"
484,"Bromley High Street, Bow"," Bow","Bromley High Street"
485,"Old Ford Road, Bethnal Green"," Bethnal Green","Old Ford Road"
486,"Granby Street, Shoreditch"," Shoreditch","Granby Street"
487,"Canton Street, Poplar"," Poplar","Canton Street"
488,"Reardon Street, Wapping"," Wapping","Reardon Street"
489,"Christian Street, Whitechapel"," Whitechapel","Christian Street"
490,"Pennington Street, Wapping"," Wapping","Pennington Street"
491,"Queen Mary's, Mile End"," Mile End","Queen Mary's"
492,"Maplin Street, Mile End"," Mile End","Maplin Street"
494,"South Quay East, Canary Wharf"," Canary Wharf","South Quay East"
495,"Bow Church Station, Bow"," Bow","Bow Church Station"
496,"Devons Road, Bow"," Bow","Devons Road"
