"locationid","StartStation_Name","borough","zone"
710,"Albert Bridge Road, Battersea Park"," Battersea Park","Albert Bridge Road"
711,"Everington Street, Fulham"," Fulham","Everington Street"
712,"Mile End Stadium, Mile End"," Mile End","Mile End Stadium"
713,"Hawley Crescent, Camden Town"," Camden Town","Hawley Crescent"
714,"Stewart's Road, Wandsworth Road"," Wandsworth Road","Stewart's Road"
715,"Aylward Street, Stepney"," Stepney","Aylward Street"
716,"Stainsby Road , Poplar"," Poplar","Stainsby Road "
717,"Dunston Road , Haggerston"," Haggerston","Dunston Road "
718,"Ada Street, Hackney Central"," Hackney Central","Ada Street"
719,"Victoria Park Road, Hackney Central"," Hackney Central","Victoria Park Road"
720,"Star Road, West Kensington"," West Kensington","Star Road"
721,"Wendon Street, Old Ford"," Old Ford","Wendon Street"
722,"Finnis Street, Bethnal Green"," Bethnal Green","Finnis Street"
723,"Stephendale Road, Sands End"," Sands End","Stephendale Road"
724,"Alma Road, Wandsworth"," Wandsworth","Alma Road"
725,"Walworth Square, Walworth"," Walworth","Walworth Square"
726,"Alfreda Street, Battersea Park"," Battersea Park","Alfreda Street"
727,"Chesilton Road, Fulham"," Fulham","Chesilton Road"
728,"Putney Bridge Road, East Putney"," East Putney","Putney Bridge Road"
729,"St. Peter's Terrace, Fulham"," Fulham","St. Peter's Terrace"
730,"Bridge Avenue, Hammersmith"," Hammersmith","Bridge Avenue"
731,"Michael Road, Walham Green"," Walham Green","Michael Road"
732,"Duke Street Hill, London Bridge"," London Bridge","Duke Street Hill"
733,"Park Lane, Mayfair"," Mayfair","Park Lane"
734,"Plough Terrace, Clapham Junction"," Clapham Junction","Plough Terrace"
735,"Grant Road East, Clapham Junction"," Clapham Junction","Grant Road East"
736,"Queensdale Road, Shepherd's Bush"," Shepherd's Bush","Queensdale Road"
737,"Fulham Broadway, Walham Green"," Walham Green","Fulham Broadway"
738,"Imperial Road, Sands End"," Sands End","Imperial Road"
739,"Hortensia Road, West Brompton"," West Brompton","Hortensia Road"
740,"Sirdar Road, Avondale"," Avondale","Sirdar Road"
741,"Freston Road, Avondale"," Avondale","Freston Road"
742,"Blenheim Crescent, Ladbroke Grove"," Ladbroke Grove","Blenheim Crescent"
743,"Oxford Road, Putney"," Putney","Oxford Road"
744,"Ingrave Street, Clapham Junction"," Clapham Junction","Ingrave Street"
745,"Upcerne Road, West Chelsea"," West Chelsea","Upcerne Road"
746,"Lots Road, West Chelsea"," West Chelsea","Lots Road"
747,"Ormonde Gate, Chelsea"," Chelsea","Ormonde Gate"
748,"Hertford Road, De Beauvoir Town"," De Beauvoir Town","Hertford Road"
749,"Haggerston Road, Haggerston"," Haggerston","Haggerston Road"
750,"Culvert Road, Battersea"," Battersea","Culvert Road"
751,"Newton Street, Covent Garden"," Covent Garden","Newton Street"
754,"Grenfell Road, Avondale"," Avondale","Grenfell Road"
755,"The Vale, Chelsea"," Chelsea","The Vale"
756,"Prince of Wales Drive, Battersea Park"," Battersea Park","Prince of Wales Drive"
757,"Harcourt Terrace, West Brompton"," West Brompton","Harcourt Terrace"
758,"Westbourne Park Road, Portobello"," Portobello","Westbourne Park Road"
759,"Broadley Terrace, Marylebone"," Marylebone","Broadley Terrace"
760,"Rossmore Road, Marylebone"," Marylebone","Rossmore Road"
761,"Humbolt Road, Fulham"," Fulham","Humbolt Road"
762,"Storey's Gate, Westminster"," Westminster","Storey's Gate"
763,"Mile End Park Leisure Centre, Mile End"," Mile End","Mile End Park Leisure Centre"
764,"St. John's Road, Clapham Junction"," Clapham Junction","St. John's Road"
765,"Ranelagh Gardens, Fulham"," Fulham","Ranelagh Gardens"
766,"Ram Street, Wandsworth"," Wandsworth","Ram Street"
767,"Santos Road, Wandsworth"," Wandsworth","Santos Road"
768,"Clapham Common North Side, Clapham Common"," Clapham Common","Clapham Common North Side"
769,"Sandilands Road, Walham Green"," Walham Green","Sandilands Road"
770,"Gwendwr Road, West Kensington"," West Kensington","Gwendwr Road"
771,"Rifle Place, Avondale"," Avondale","Rifle Place"
772,"Binfield Road, Stockwell"," Stockwell","Binfield Road"
773,"Tallis Street, Temple"," Temple","Tallis Street"
774,"Hurlingham Park, Parsons Green"," Parsons Green","Hurlingham Park"
775,"Little Brook Green, Brook Green"," Brook Green","Little Brook Green"
776,"Abyssinia Close, Clapham Junction"," Clapham Junction","Abyssinia Close"
777,"Limburg Road, Clapham Junction"," Clapham Junction","Limburg Road"
778,"Pop Up Dock 1","","Pop Up Dock 1"
779,"Houndsditch, Aldgate"," Aldgate","Houndsditch"
780,"Imperial Wharf Station, Sands End"," Sands End","Imperial Wharf Station"
781,"Victoria & Albert Museum, South Kensington"," South Kensington","Victoria & Albert Museum"
782,"Halford Road, West Kensington"," West Kensington","Halford Road"
783,"Monier Road, Hackney Wick"," Hackney Wick","Monier Road"
784,"East Village, Queen Elizabeth Olympic Park"," Queen Elizabeth Olympic Park","East Village"
785,"Aquatic Centre, Queen Elizabeth Olympic Park"," Queen Elizabeth Olympic Park","Aquatic Centre"
786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park"," Queen Elizabeth Olympic Park","Lee Valley VeloPark"
787,"Timber Lodge, Queen Elizabeth Olympic Park"," Queen Elizabeth Olympic Park","Timber Lodge"
788,"Copper Box Arena, Queen Elizabeth Olympic Park"," Queen Elizabeth Olympic Park","Copper Box Arena"
789,"Podium, Queen Elizabeth Olympic Park"," Queen Elizabeth Olympic Park","Podium"
790,"Stratford Station, Stratford"," Stratford","Stratford Station"
792,"Blackfriars Road, Southwark"," Southwark","Blackfriars Road"
793,"Cromer Street, Bloomsbury"," Bloomsbury","Cromer Street"
794,"Victoria Rise, Clapham Common"," Clapham Common","Victoria Rise"
795,"Euston Square Gardens, Euston"," Euston","Euston Square Gardens"
796,"Coram Street, Bloomsbury"," Bloomsbury","Coram Street"
797,"Ossulston Street, Somers Town"," Somers Town","Ossulston Street"
798,"Birkenhead Street, King's Cross"," King's Cross","Birkenhead Street"
799,"Kings Gate House, Westminster"," Westminster","Kings Gate House"
800,"Sopwith Way, Battersea Park"," Battersea Park","Sopwith Way"
801,"Lavington Street, Bankside"," Bankside","Lavington Street"
802,"Albert Square, Stockwell"," Stockwell","Albert Square"
803,"Southwark Street, Bankside"," Bankside","Southwark Street"
804,"Good's Way, King's Cross"," King's Cross","Good's Way"
805,"The Metropolitan, Portobello"," Portobello","The Metropolitan"
806,"Handyside Street, King's Cross"," King's Cross","Handyside Street"
807,"Bevington Road West, North Kensington"," North Kensington","Bevington Road West"
808,"Stockwell Roundabout, Stockwell"," Stockwell","Stockwell Roundabout"
808,"Gauden Road, Clapham"," Clapham","Gauden Road"
809,"Lincoln's Inn Fields, Holborn"," Holborn","Lincoln's Inn Fields"
810,"Tate Modern, Bankside"," Bankside","Tate Modern"
811,"Westferry Circus, Canary Wharf"," Canary Wharf","Westferry Circus"
812,"Here East North, Queen Elizabeth Olympic Park"," Queen Elizabeth Olympic Park","Here East North"
813,"New Spring Gardens Walk, Vauxhall"," Vauxhall","New Spring Gardens Walk"
814,"Clapham Road, Lingham Street, Stockwell"," Lingham Street","Clapham Road"
815,"Lambeth Palace Road, Waterloo"," Waterloo","Lambeth Palace Road"
816,"Here East South, Queen Elizabeth Olympic Park"," Queen Elizabeth Olympic Park","Here East South"
817,"Riverlight South, Nine Elms"," Nine Elms","Riverlight South"
818,"Westminster Pier, Westminster"," Westminster","Westminster Pier"
819,"Belvedere Road 2, South Bank"," South Bank","Belvedere Road 2"
820,"Victory Place, Walworth"," Walworth","Victory Place"
821,"Battersea Power Station, Battersea Park"," Battersea Park","Battersea Power Station"
826,"Allington Street, Victoria"," Victoria","Allington Street"
827,"Cranmer Road, Stockwell"," Stockwell","Cranmer Road"
828,"Normandy Road, Stockwell"," Stockwell","Normandy Road"
829,"Wynne Road, Stockwell"," Stockwell","Wynne Road"
830,"Sidney Road, Stockwell"," Stockwell","Sidney Road"
831,"St John's Crescent, Brixton"," Brixton","St John's Crescent"
832,"Ferndale Road, Brixton"," Brixton","Ferndale Road"
833,"Saltoun Road, Brixton"," Brixton","Saltoun Road"
834,"Gas Holders, Battersea Park"," Battersea Park","Gas Holders"
835,"Farringdon Street, Holborn"," Holborn","Farringdon Street"
836,"York Way, Kings Cross"," Kings Cross","York Way"
838,"Fore Street Avenue, Guildhall"," Guildhall","Fore Street Avenue"
839,"Sea Containers, South Bank"," South Bank","Sea Containers"
840,"George Row, Bermondsey"," Bermondsey","George Row"
841,"Tower Wharf, Bermondsey"," Bermondsey","Tower Wharf"
842,"Temple Gardens, Temple"," Temple","Temple Gardens"
844,"Canada Water Station, Rotherhithe"," Rotherhithe","Canada Water Station"
845,"Bermondsey Station, Bermondsey"," Bermondsey","Bermondsey Station"
